RETURN_VERSION,RETURN_TIMESTAMP,TAX_PERIOD_BEGIN,TAX_PERIOD_END,TAX_YEAR,EIN_XML,ORGANIZATION_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,ZIP_CODE,MISSION,FORMATION_YEAR,WEBSITE,TOTAL_EMPLOYEES,TOTAL_VOLUNTEERS,CONTRIBUTIONS_GRANTS,PROGRAM_SERVICE_REVENUE,INVESTMENT_INCOME,OTHER_REVENUE,TOTAL_REVENUE,GRANTS_PAID,SALARIES_COMPENSATION_BENEFITS,TOTAL_EXPENSES,TOTAL_ASSETS_BOY,TOTAL_ASSETS_EOY,TOTAL_LIABILITIES_BOY,TOTAL_LIABILITIES_EOY,NET_ASSETS_BOY,NET_ASSETS_EOY,FILING_YEAR,OBJECT_ID,XML_FILENAME,ARCHIVE_FILENAME,XML_LOCAL_PATH,OPERATING_SURPLUS,ASSET_CHANGE,NET_ASSET_CHANGE,TAX_YEAR_ANALYSIS,PERIOD_DAYS,SHORT_PERIOD_FLAG,LONG_PERIOD_FLAG,COMPARABLE_FULL_YEAR,NEGATIVE_LIABILITIES_FLAG,NEGATIVE_NET_ASSETS_FLAG,ZERO_ASSETS_FLAG,PERIOD_LENGTH_DEVIATION,OPERATING_MARGIN,CONTRIBUTION_REVENUE_SHARE,PROGRAM_SERVICE_REVENUE_SHARE,LIABILITIES_TO_ASSETS,DATA_QUALITY_FLAG_COUNT
2021v4.2,2022-05-16T13:04:35-05:00,2021-01-01,2021-12-31,2021,203584556,CHILDS PLAY,9660 153RD AVE NE,,REDMOND,WA,98052,CHILD'S PLAY IMPROVES THE LIVES OF CHILDREN THROUGH THE POWER OF PLAY.,2005.0,WWW.CHILDSPLAYCHARITY.ORG,5,29.0,3781650,0,312600,31089,4125339,3022839,548872,4088187,12331499.0,14460372,484345.0,1162693,11847154.0,13297679,2022,202211369349308296,202211369349308296_public.xml,2022_TEOS_XML_01A.zip,data/raw/form990_xml/2022/202211369349308296_public.xml,37152,2128873.0,1450525.0,2021,365,False,False,True,False,False,False,0,0.009005805341088332,0.9166883012523335,0.0,0.08040546951350906,0
2022v5.0,2023-09-21T16:10:04-05:00,2022-01-01,2022-12-31,2022,203584556,CHILD'S PLAY,9660 153RD AVE NE,,REDMOND,WA,98052,CHILD'S PLAY IMPROVES THE LIVES OF CHILDREN THROUGH THE POWER OF PLAY.,2005.0,WWW.CHILDSPLAYCHARITY.ORG,6,79.0,4000471,0,397030,-1047,4396454,2469391,570226,3737000,14460372.0,14022478,1162693.0,1036628,13297679.0,12985850,2023,202322649349301912,202322649349301912_public.xml,2023_TEOS_XML_09A.zip,data/raw/form990_xml/2023/202322649349301912_public.xml,659454,-437894.0,-311829.0,2022,365,False,False,True,False,False,False,0,0.14999679286989015,0.9099312764332346,0.0,0.07392616340706686,0
2023v5.0,2024-05-15T17:51:19-05:00,2023-01-01,2023-12-31,2023,203584556,CHILD'S PLAY,9660 153RD AVE NE,,REDMOND,WA,98052,CHILD'S PLAY IMPROVES THE LIVES OF CHILDREN THROUGH THE POWER OF PLAY.,2005.0,WWW.CHILDSPLAYCHARITY.ORG,7,105.0,3337648,0,405492,-28460,3714680,2426801,687967,3761769,14022478.0,14800858,1036628.0,1113828,12985850.0,13687030,2024,202411369349316421,202411369349316421_public.xml,2024_TEOS_XML_05A.zip,data/raw/form990_xml/2024/202411369349316421_public.xml,-47089,778380.0,701180.0,2023,365,False,False,True,False,False,False,0,-0.012676462037106831,0.8985021590015829,0.0,0.0752542859339641,0
2021v4.2,2022-07-14T16:18:25-05:00,2021-01-01,2021-12-31,2021,208511728,DAUGHTERS OF THE NILE FOUNDATION,4030 55TH AVE SW,,SEATTLE,WA,981163641,"THE DAUGHTERS OF THE NILE FOUNDATION IS A 501(3)C NONPROFIT CORPORATION OF VOLUNTEER WOMEN DEDICATED TO THE GROWTH OF ITS PERMANENT ENDOWMENT AND, THROUGH ITS ANNUAL DISTRIBUTION, BENEFITS SHRINERS HOSPITALS FOR CHILDREN.",2007.0,WWW.DONFDN.ORG,0,20.0,1259664,0,2928243,0,4187907,2000000,0,2322410,37299840.0,41547937,1638558.0,1862900,35661282.0,39685037,2022,202201959349302315,202201959349302315_public.xml,2022_TEOS_XML_01A.zip,data/raw/form990_xml/2022/202201959349302315_public.xml,1865497,4248097.0,4023755.0,2021,365,False,False,True,False,False,False,0,0.44544852595819345,0.3007860489738669,0.0,0.044837364608500296,0
2022v5.0,2023-07-13T14:10:38-05:00,2022-01-01,2022-12-31,2022,208511728,DAUGHTERS OF THE NILE FOUNDATION,4030 55TH AVE SW,,SEATTLE,WA,981163641,"THE DAUGHTERS OF THE NILE FOUNDATION IS A 501(3)C NONPROFIT CORPORATION OF VOLUNTEER WOMEN DEDICATED TO THE GROWTH OF ITS PERMANENT ENDOWMENT AND, THROUGH ITS ANNUAL DISTRIBUTION, BENEFITS SHRINERS HOSPITALS FOR CHILDREN.",2007.0,WWW.DONFDN.ORG,0,30.0,1522108,0,5589183,0,7111291,2100000,0,2524617,41547937.0,35013234,1862900.0,1636732,39685037.0,33376502,2023,202311949349301131,202311949349301131_public.xml,2023_TEOS_XML_07A.zip,data/raw/form990_xml/2023/202311949349301131_public.xml,4586674,-6534703.0,-6308535.0,2022,365,False,False,True,False,False,False,0,0.6449847151522838,0.21404102293099805,0.0,0.04674609606184907,0
2023v5.1,2024-11-11T18:56:10-06:00,2023-01-01,2023-12-31,2023,208511728,DAUGHTERS OF THE NILE FOUNDATION,4030 55TH AVE SW,,SEATTLE,WA,981163641,"THE DAUGHTERS OF THE NILE FOUNDATION IS A 501(3)C NONPROFIT CORPORATION OF VOLUNTEER WOMEN DEDICATED TO THE GROWTH OF ITS PERMANENT ENDOWMENT AND, THROUGH ITS ANNUAL DISTRIBUTION, BENEFITS SHRINERS HOSPITALS FOR CHILDREN.",2007.0,WWW.DONFDN.ORG,0,30.0,1438321,0,1011311,0,2449632,2157100,0,2588936,35013234.0,37998121,1636732.0,1764897,33376502.0,36233224,2024,202433169349306423,202433169349306423_public.xml,2024_TEOS_XML_11A.zip,data/raw/form990_xml/2024/202433169349306423_public.xml,-139304,2984887.0,2856722.0,2023,365,False,False,True,False,False,False,0,-0.056867317213361024,0.5871579894449452,0.0,0.04644695457441172,0
2020v4.2,2022-04-04T17:56:55-05:00,2020-07-01,2021-06-30,2020,237082323,CENTER FOR HUMAN SERVICES,17018 15TH AVENUE NE,,SHORELINE,WA,98155,TO PROVIDE MENTAL HEALTH AND SUBSTANCE USE DISORDER COUNSELING AND FAMILY SUPPORT SERVICES.,1984.0,WWW.CHS-NW.ORG,167,50.0,4142271,7236546,15311,-33019,11361109,2380,6746889,8143290,8612698.0,9829499,3528941.0,1527923,5083757.0,8301576,2022,202220949349300342,202220949349300342_public.xml,2022_TEOS_XML_01A.zip,data/raw/form990_xml/2022/202220949349300342_public.xml,3217819,1216801.0,3217819.0,2021,365,False,False,True,False,False,False,0,0.2832310648546722,0.3646009381654555,0.6369577124909197,0.1554426120802291,0
2021v4.2,2023-05-04T15:29:57-05:00,2021-07-01,2022-06-30,2021,237082323,CENTER FOR HUMAN SERVICES,17018 15TH AVENUE NE,,SHORELINE,WA,98155,TO PROVIDE MENTAL HEALTH AND SUBSTANCE USE DISORDER COUNSELING AND FAMILY SUPPORT SERVICES.,1984.0,WWW.CHS-NW.ORG,176,50.0,3233961,6538129,15398,-21594,9765894,1299,7392197,9028631,9829499.0,9895599,1527923.0,856760,8301576.0,9038839,2023,202341249349302709,202341249349302709_public.xml,2023_TEOS_XML_05A.zip,data/raw/form990_xml/2023/202341249349302709_public.xml,737263,66100.0,737263.0,2022,365,False,False,True,False,False,False,0,0.07549365168206823,0.3311484847162994,0.6694859682073141,0.08657990284367828,0
2022v5.0,2024-03-28T16:28:33-05:00,2022-07-01,2023-06-30,2022,237082323,CENTER FOR HUMAN SERVICES,17018 15TH AVENUE NE,,SHORELINE,WA,98155,TO PROVIDE MENTAL HEALTH AND SUBSTANCE USE DISORDER COUNSELING AND FAMILY SUPPORT SERVICES.,1984.0,WWW.CHS-NW.ORG,180,50.0,5066190,8212685,87843,-6447,13360271,6603,10054479,12158655,9895599.0,12323784,856760.0,2083329,9038839.0,10240455,2024,202430889349300518,202430889349300518_public.xml,2024_TEOS_XML_04A.zip,data/raw/form990_xml/2024/202430889349300518_public.xml,1201616,2428185.0,1201616.0,2023,365,False,False,True,False,False,False,0,0.08993949299381726,0.379198146504663,0.6147094621059708,0.16904945753674358,0
2021v4.0,2023-11-16T12:47:38-05:00,2021-01-01,2021-12-31,2021,237100868,COUNTRY DOCTOR COMMUNITY CLINIC,2101 E YESLER WAY SE STE 210,,SEATTLE,WA,98122,"TO IMPROVE THE HEALTH OF OUR COMMUNITY BY PROVIDING HIGH QUALITY, CARING, CULTURALLY APPROPRIATE PRIMARY HEALTH CARE THAT ADDRESSES THE NEEDS OF PEOPLE, REGARDLESS OF THEIR ABILITY TO PAY.",1971.0,CDCHC.ORG,302,41.0,9797728,22650899,16490,542435,33007552,4453,21097283,33443771,30444919.0,31082020,13711619.0,14785071,16733300.0,16296949,2023,202303209349302630,202303209349302630_public.xml,2023_TEOS_XML_11A.zip,data/raw/form990_xml/2023/202303209349302630_public.xml,-436219,637101.0,-436351.0,2021,365,False,False,True,False,False,False,0,-0.013215733175244259,0.296832918721146,0.6862338352144381,0.4756792190468959,0
2022v5.0,2023-11-27T17:26:03-05:00,2022-01-01,2022-12-31,2022,237100868,COUNTRY DOCTOR COMMUNITY CLINIC,2101 E YESLER WAY SE STE 210,,SEATTLE,WA,98122,"TO IMPROVE THE HEALTH OF OUR COMMUNITY BY PROVIDING HIGH QUALITY, CARING, CULTURALLY APPROPRIATE PRIMARY HEALTH CARE THAT ADDRESSES THE NEEDS OF PEOPLE, REGARDLESS OF THEIR ABILITY TO PAY.",1971.0,CDCHC.ORG,309,65.0,9668398,24922551,-94055,684644,35181538,4481,21404305,35420648,31082020.0,30476117,14785071.0,14418278,16296949.0,16057839,2023,202323319349301202,202323319349301202_public.xml,2023_TEOS_XML_12A.zip,data/raw/form990_xml/2023/202323319349301202_public.xml,-239110,-605903.0,-239110.0,2022,365,False,False,True,False,False,False,0,-0.00679646239456615,0.2748145348278975,0.708398564042311,0.47310088749167095,0
